"Chip Markings","Package"
"CY7C68013A-56PVXC","SSOP-56"
"HC245
HE03455
TXD518E","SSOP-24"
"ATMEL522
24C02BN
SU27 D","SOIC-8"
"MCU123","PCB (top)"
"AMS1117
33ID1435",
